projectName,SingleLineComments,TotalNoOfOperands,NoOfUniqueOperands,HalsteadProgramEffort,ES2016Compliant,HalsteadProgramVolume,LargestSignatureInFunction,NoOfObjects,HighestCyclomaticComplexity,ES2017Compliant,LongestCallingChain,AvgCallingChain,AvgFanIn,TotalNoOfOperators,Sloc,MultiLineComments,LargestCognitiveComplexity,NoofStatementsInLargestFunction,HighestFanIn,ES2015Compliant,HalsteadDifficulty,AvgNoOfStatementsInFunction,NoOfPropertiesInLargestObject,AvgCyclomaticComplexity,ES2018Compliant,HalsteadProgramLength,NoOfUniqueOperators,AvgFanOut,MaintainabilityIndex,HighestFanOut,AvgCognitiveComplexity,NoOfFunctionsDeclarations,AvgNoOfPropertiesPerObject,Lloc
"grunt-contrib-uglify-4.0.0","15","24.0","24.0","2340.25","false","468.05","2","6","19.0","false","0.0","0.0","0.0","68.0","145","1","80.0","58","0","false","5.0","-2","7","2.0","false","92.0","10.0","0.0","97.48414907289198","1","22.0","8","1","115"
"uglify-js-3.4.9","0","7.0","7.0","170.28","false","68.11","2","5","5.0","false","0.0","0.0","0.0","12.0","73","0","12.0","11","0","false","2.5","1","1","1.0","false","19.0","5.0","0.0","127.35704685648454","0","2.0","13","0","47"
"babel-preset-stage-0-6.24.1","0","6.0","6.0","30.0","false","30.0","1","2","2.0","false","0.0","0.0","0.0","4.0","14","0","1.0","1","0","false","1.0","0","2","1.0","false","10.0","2.0","0.0","116.61517621494824","0","1.0","1","1","17"
"standard-12.0.1","0","2.0","2.0","2.38","false","4.75","0","0","1.0","false","0.0","0.0","0.0","1.0","3","0","0.0","0","0","false","0.5","0","0","1.0","false","3.0","1.0","0.0","150.23699725569944","0","0.0","0","0","3"
"grunt-contrib-nodeunit-2.0.0","63","29.0","29.0","4065.82","false","625.51","3","8","29.0","false","0.0","0.0","0.0","87.0","205","1","82.0","20","0","false","6.5","0","6","2.0","false","116.0","13.0","0.0","108.73215529835443","0","6.0","24","1","155"
"sinon-chai-3.3.0","4","10.0","7.0","970.9","false","194.18","5","1","10.0","false","0.0","0.0","2.0","41.0","124","3","13.0","18","4","false","5.0","1","2","1.0","false","51.0","7.0","0.0","121.40358152936133","4","1.0","21","2","85"
"minimist-1.2.0","3","23.0","15.0","5993.06","false","651.42","3","10","50.0","false","0.0","0.0","0.0","114.0","201","0","241.0","77","0","false","9.2","1","3","2.0","false","137.0","12.0","0.0","105.49715564628225","1","12.0","21","0","169"
"babel-register-6.26.0","0","36.0","34.0","3362.94","false","488.8","2","12","7.0","false","0.0","0.0","3.0","52.0","126","0","11.0","17","5","false","6.88","0","3","1.0","false","88.0","13.0","0.0","107.63260947049498","4","2.0","14","0","127"
"fs-extra-7.0.1","3","17.0","16.0","1388.4","false","237.74","3","3","15.0","false","0.0","0.0","0.0","33.0","95","0","24.0","16","0","true","5.84","1","1","2.0","false","50.0","11.0","0.0","104.5415936463566","2","6.0","7","0","76"
"karma-chrome-launcher-2.2.0","18","41.0","29.0","3471.16","false","545.78","3","16","4.0","false","0.0","0.0","0.0","63.0","253","0","8.0","12","0","false","6.36","0","7","1.0","false","104.0","9.0","0.0","105.81744663379006","2","1.0","24","3","187"
"karma-phantomjs-launcher-1.0.4","11","17.0","17.0","625.84","false","178.81","4","7","8.0","false","0.0","0.0","0.0","22.0","85","0","8.0","23","0","false","3.5","1","5","1.0","false","39.0","7.0","0.0","111.6764174574677","2","2.0","8","1","64"
"css-loader-2.1.1","0","1.0","1.0","1.0","false","2.0","0","0","1.0","false","0.0","0.0","0.0","1.0","3","0","0.0","0","0","true","0.5","0","0","1.0","false","2.0","1.0","0.0","153.20248092357662","0","0.0","0","0","3"
"eslint-config-airbnb-17.1.0","0","0.0","0.0","0.0","false","0.0","0","2","1.0","false","0.0","0.0","0.0","1.0","9","0","0.0","0","0","false","0.0","0","2","1.0","false","1.0","1.0","0.0","135.40496184715323","0","0.0","0","1","3"
